NOMBRE;REFERENCIA;NOMBRE_TARIFA;DIFERENCIACION 1;acabado 2;€ PVP 2018;DESCRIPCIÓN;CARACTERISTICAS;nombre-de-la-imagen-1-;cotas;Imagen en Alta;Nombre-de-la-imagen-2;NOMBrE-dE-La-IMagEN-3;NOMBrE-dE-La-IMagEN-4;REF. RELACIONADA 1;REF. RELACIONADA 2;REF. RELACIONADA 3;REF. RELACIONADA 4;FILTRO 1: ;FILTRO 2: ÁMBITO DE USO;FILTRO 3: COLECCIÓN;FILTRO 4: AHORRO DE AGUA;FILTRO 5: TIPO DE INSTALACIÓN;FILTRO 6: mezcla de agua;FILTRO 7: Certificado;FICHA TECNICA;N DE AENOR;NF;GARANTÍA AMBIENTAL DE CATALUÑA;MARCADO CE;ECO;PREMIO GOOD DESIGN;REPUESTO 1;REPUESTO 2;REPUESTO 3;REPUESTO 4;REPUESTO 5;EAN;BIM;Novedades
MYGOD Lavabo;6544000;GRIFO DE LAVABO MYGOD;Con Desagüe Semiautomático;;341,3;Grifería monomando de cascada con diseño vanguardista, de cuerpo compacto y original. La maneta se integra en el caño formando una única superficie visual. Esta fantástica grifería ha sido diseñada por Maurizio Duranti.;"Grifo monomando de lavabo. Acabado Cromo. Disponible: sin o con Desagüe Semiautomático. Cartucho con discos cerámicos. Tubos de alimentación flexibles 3/8"" y longitud 37 cm.";grifo-lavabo-galindo-mygod.jpg;cotas-grifo-lavabo-galindo-mygod.jpg;alta-grifo-lavabo-galindo-mygod.jpg;ambiente-grifo-lavabo-galindo-mygod.jpg;ambiente-2-grifo-lavabo-galindo-mygod.jpg;;6546000;6541000;6543000;6545600;Baño;Lavabo;Mygod;No;Repisa;Mezclador;No;grifo-lavabo-Galindo-mygod.pdf;No;No;No;No;No;No;meca-65;lati-12;fija-15;48300;;8,43144E+12;;
MYGOD Lavabo;6545000;GRIFO DE LAVABO MYGOD;Sin Desagüe Semiautomático;;321;Grifería monomando de cascada con diseño vanguardista, de cuerpo compacto y original. La maneta se integra en el caño formando una única superficie visual. Esta fantástica grifería ha sido diseñada por Maurizio Duranti.;"Grifo monomando de lavabo. Acabado Cromo. Disponible: sin o con Desagüe Semiautomático. Cartucho con discos cerámicos. Tubos de alimentación flexibles 3/8"" y longitud 37 cm.";grifo-lavabo-galindo-mygod.jpg;cotas-grifo-lavabo-galindo-mygod.jpg;alta-grifo-lavabo-galindo-mygod.jpg;ambiente-grifo-lavabo-galindo-mygod.jpg;ambiente-2-grifo-lavabo-galindo-mygod.jpg;;6547000;6541500;6543500;6545700;Baño;Lavabo;Mygod;No;Repisa;Mezclador;No;grifo-lavabo-Galindo-mygod.pdf;No;No;No;No;No;No;meca-65;lati-12;fija-15;48300;;8,43144E+12;;
MYGOD Lavabo;6544100;GRIFO DE LAVABO MEDIO MYGOD;Con Desagüe Semiautomático;;388,2;Grifería monomando lavabo medio de cascada con diseño vanguardista, de cuerpo compacto y original. La maneta se integra en el caño formando una única superficie visual. Esta fantástica grifería ha sido diseñada por Maurizio Duranti.;"Grifo monomando lavabo medio. Acabado Cromo. Disponible: sin o con Desagüe Semiautomático. Cartucho con discos cerámicos. Tubos de alimentación flexibles 3/8"" y longitud 37 cm.";grifo-lavabo-medio-galindo-mygod.jpg;cotas-grifo-lavabo-medio-galindo-mygod.jpg;alta-grifo-lavabo-medio-galindo-mygod.jpg;ambiente-grifo-lavabo-medio-galindo-mygod.jpg;ambiente-2-grifo-lavabo-medio-galindo-mygod.jpg;;6546000;6541000;6543000;6545600;Baño;Lavabo;Mygod;No;Repisa;Mezclador;No;grifo-lavabo medio-Galindo-mygod.pdf;No;No;No;No;No;No;meca-65;lati-12;fija-15;48300;;8,43144E+12;;
MYGOD Lavabo;6545100;GRIFO DE LAVABO MEDIO MYGOD;Sin Desagüe Semiautomático;;367,9;Grifería monomando lavabo medio de cascada con diseño vanguardista, de cuerpo compacto y original. La maneta se integra en el caño formando una única superficie visual. Esta fantástica grifería ha sido diseñada por Maurizio Duranti.;"Grifo monomando lavabo medio. Acabado Cromo. Disponible: sin o con Desagüe Semiautomático. Cartucho con discos cerámicos. Tubos de alimentación flexibles 3/8"" y longitud 37 cm.";grifo-lavabo-medio-galindo-mygod.jpg;cotas-grifo-lavabo-medio-galindo-mygod.jpg;alta-grifo-lavabo-medio-galindo-mygod.jpg;ambiente-grifo-lavabo-medio-galindo-mygod.jpg;ambiente-2-grifo-lavabo-medio-galindo-mygod.jpg;;6547000;6541500;6543500;6545700;Baño;Lavabo;Mygod;No;Repisa;Mezclador;No;grifo-lavabo medio-Galindo-mygod.pdf;No;No;No;No;No;No;meca-65;lati-12;fija-15;48300;;8,43144E+12;;
MYGOD Lavabo;6544500;GRIFO DE LAVABO ALTO MYGOD;Con Desagüe Semiautomático;;588,3;Grifería monomando lavabo alto de cascada con diseño vanguardista, de cuerpo compacto y original. La maneta se integra en el caño formando una única superficie visual. Esta fantástica grifería ha sido diseñada por Maurizio Duranti.;"Grifo monomando lavabo alto. Acabado Cromo. Disponible: sin o con Desagüe Semiautomático. Cartucho con discos cerámicos. Tubos de alimentación flexibles 3/8"" y longitud 55 cm.";grifo-lavabo-alto-galindo-mygod.jpg;cotas-grifo-lavabo-alto-galindo-mygod.jpg;alta-grifo-lavabo-alto-galindo-mygod.jpg;ambiente-grifo-lavabo-alto-galindo-mygod.jpg;ambiente-2-grifo-lavabo-alto-galindo-mygod.jpg;;6546000;6541000;6543000;6545600;Baño;Lavabo;Mygod;No;Repisa;Mezclador;No;grifo-lavabo alto-Galindo-mygod.pdf;No;No;No;No;No;No;meca-65;lati-12;fija-15;48300;;8,43144E+12;;
MYGOD Lavabo;6545500;GRIFO DE LAVABO ALTO MYGOD;Sin Desagüe Semiautomático;;568;Grifería monomando lavabo alto de cascada con diseño vanguardista, de cuerpo compacto y original. La maneta se integra en el caño formando una única superficie visual. Esta fantástica grifería ha sido diseñada por Maurizio Duranti.;"Grifo monomando lavabo alto. Acabado Cromo. Disponible: sin o con Desagüe Semiautomático. Cartucho con discos cerámicos. Tubos de alimentación flexibles 3/8"" y longitud 55 cm.";grifo-lavabo-alto-galindo-mygod.jpg;cotas-grifo-lavabo-alto-galindo-mygod.jpg;alta-grifo-lavabo-alto-galindo-mygod.jpg;ambiente-grifo-lavabo-alto-galindo-mygod.jpg;ambiente-2-grifo-lavabo-alto-galindo-mygod.jpg;;6547000;6541500;6543500;6545700;Baño;Lavabo;Mygod;No;Repisa;Mezclador;No;grifo-lavabo alto-Galindo-mygod.pdf;No;No;No;No;No;No;meca-65;lati-12;fija-15;48300;;8,43144E+12;;
MYGOD Lavabo;6545700;GRIFO DE LAVABO MURAL VERTICAL MYGOD;Sin Desagüe Semiautomático;;537,1;Grifería monomando lavabo mural vertical de cascada con diseño vanguardista, de cuerpo compacto y original. La maneta se integra en el caño formando una única superficie visual. Esta fantástica grifería ha sido diseñada por Maurizio Duranti.;"Grifo monomando de lavabo mural vertical. Acabado Cromo. Cartucho con discos cerámicos. Entrada 3/8"" Hembra.";grifo-lavabo-mural-galindo-mygod.jpg;cotas-grifo-lavabo-mural-galindo-mygod.jpg;alta-grifo-lavabo-mural-galindo-mygod.jpg;ambiente-grifo-lavabo-mural-galindo-mygod.jpg;;;6546000;6541000;6543000;6544000;Baño;Lavabo;Mygod;No;Mural;Mezclador;No;grifo-lavabo mural-Galindo-mygod.pdf;No;No;No;No;No;No;meca-65;;;;;8,43144E+12;;
MYGOD Lavabo;6545600;GRIFO DE LAVABO MURAL HORIZONTAL MYGOD;Sin Desagüe Semiautomático;;537,1;Grifería monomando lavabo mural horizontal de cascada con diseño vanguardista, de cuerpo compacto y original. La maneta se integra en el caño formando una única superficie visual. Esta fantástica grifería ha sido diseñada por Maurizio Duranti.;"Grifo monomando de lavabo mural horizontal. Acabado Cromo. Cartucho con discos cerámicos. Entrada 3/8"" Hembra.";grifo-lavabo-mural-galindo-mygod-horizontal.jpg;cotas-grifo-lavabo-mural-galindo-mygod-horizontal.jpg;alta-grifo-lavabo-mural-galindo-mygod-horizontal.jpg;ambiente-grifo-lavabo-mural-galindo-mygod-horizontal.jpg;;;6547000;6541500;6543500;6545000;Baño;Lavabo;Mygod;No;Mural;Mezclador;No;grifo-lavabo mural-Galindo-mygod-horizontal.pdf;No;No;No;No;No;No;meca-65;;;;;8,43144E+12;;
MYGOD Bidet;6546000;GRIFO DE BIDET MYGOD;Con Desagüe Semiautomático;;341,3;Grifería monomando bidet de cascada con diseño vanguardista, de cuerpo compacto y original. La maneta se integra en el caño formando una única superficie visual. Esta fantástica grifería ha sido diseñada por Maurizio Duranti.;"Grifo monomando bidet. Acabado Cromo. Disponible: sin o con Desagüe Semiautomático. Cartucho con discos cerámicos. Tubos de alimentación flexibles 3/8"" y longitud 37 cm.";grifo-bidet-galindo-mygod.jpg;cotas-grifo-bidet-galindo-mygod.jpg;alta-grifo-bidet-galindo-mygod.jpg;ambiente-grifo-bidet-galindo-mygod.jpg;;;6544000;6541000;6543000;6545600;Baño;Bidet;Mygod;No;Repisa;Mezclador;No;grifo-bidet-Galindo-mygod.pdf;No;No;No;No;No;No;meca-65;lati-12;fija-15;48300;;8,43144E+12;;
MYGOD Bidet;6547000;GRIFO DE BIDET MYGOD;Sin Desagüe Semiautomático;;321;Grifería monomando bidet de cascada con diseño vanguardista, de cuerpo compacto y original. La maneta se integra en el caño formando una única superficie visual. Esta fantástica grifería ha sido diseñada por Maurizio Duranti.;"Grifo monomando bidet. Acabado Cromo. Disponible: sin o con Desagüe Semiautomático. Cartucho con discos cerámicos. Tubos de alimentación flexibles 3/8"" y longitud 37 cm.";grifo-bidet-galindo-mygod.jpg;cotas-grifo-bidet-galindo-mygod.jpg;alta-grifo-bidet-galindo-mygod.jpg;ambiente-grifo-bidet-galindo-mygod.jpg;;;6545000;6541500;6543500;6545700;Baño;Bidet;Mygod;No;Repisa;Mezclador;No;grifo-bidet-Galindo-mygod.pdf;No;No;No;No;No;No;meca-65;lati-12;fija-15;48300;;8,43144E+12;;
MYGOD Grupo Baño-Ducha ;6541000;GRIFO BAÑO-DUCHA MYGOD ;Con accesorios de ducha;;780,3;Grifería monomando baño-ducha de cascada con diseño vanguardista, de cuerpo compacto y original. La maneta se integra en el caño formando una única superficie visual. Esta fantástica grifería ha sido diseñada por Maurizio Duranti.;"Grifo monomando baño-ducha. Acabado Cromo. Disponible: sin o con accesorios ducha. Cartucho con discos cerámicos. Entrada Hembra 3/4"" con excéntrica.";grifo-bano-ducha-galindo-mygod.jpg;cotas-grifo-bano-ducha-galindo-mygod.jpg;alta-grifo-bano-ducha-galindo-mygod.jpg;ambiente-grifo-bano-ducha-galindo-mygod.jpg;;;6544000;6546000;6543000;6545600;Baño;Baño-ducha;Mygod;No;Mural;Mezclador;No;grifo-bano ducha-Galindo-mygod.pdf;No;No;No;No;No;No;meca-66;inve-14crcr;ancl-3crcr;acce-127 crcr;60400;8,43144E+12;;
MYGOD Grupo Baño-Ducha ;6541500;GRIFO BAÑO-DUCHA MYGOD ;Sin accesorios de ducha;;703,8;Grifería monomando baño-ducha de cascada con diseño vanguardista, de cuerpo compacto y original. La maneta se integra en el caño formando una única superficie visual. Esta fantástica grifería ha sido diseñada por Maurizio Duranti.;"Grifo monomando baño-ducha. Acabado Cromo. Disponible: sin o con accesorios ducha. Cartucho con discos cerámicos. Entrada Hembra 3/4"" con excéntrica.";grifo-bano-ducha-galindo-mygod.jpg;cotas-grifo-bano-ducha-galindo-mygod.jpg;alta-grifo-bano-ducha-galindo-mygod.jpg;ambiente-grifo-bano-ducha-galindo-mygod.jpg;;;6545000;6547000;6543500;6545700;Baño;Baño-ducha;Mygod;No;Mural;Mezclador;No;grifo-bano ducha-Galindo-mygod.pdf;No;No;No;No;No;No;meca-66;ancl-3crcr;;acce-127 crcr;60400;8,43144E+12;;
MYGOD Mecanismo Baño-Ducha;6547400;GRIFO BAÑO-DUCHA EMPOTRABLE MYGOD ;Sin accesorios de ducha;;333,4;Mecanismo baño-ducha empotrable de diseño vanguardista perteneciente a la colección MYGOD. Esta fantástica grifería ha sido diseñada por Maurizio Duranti.;"Mecanismo monomando baño-ducha empotrable. Acabado Cromo. Cartucho con discos cerámicos. Entrada 1/2"" a 1/2"" Hembra.";grifo-bano-ducha-empotrable-galindo-mygod.jpg;cotas-grifo-bano-ducha-empotrable-galindo-mygod.jpg;alta-grifo-bano-ducha-empotrable-galindo-mygod.jpg;;;;6544000;6541000;6543000;6545600;Baño;Baño-ducha;Mygod;No;Empotrada;Mezclador;No;grifo-bano ducha empotrable-Galindo-mygod.pdf;No;No;No;No;No;No;meca-67;inve-14crcr;;;;8,43144E+12;;
MYGOD Grupo Ducha ;6543000;GRIFO DUCHA MYGOD;Con accesorios de ducha;;729,7;Grifería monomando ducha de diseño vanguardista, de cuerpo compacto y original. La maneta se integra en el cuerpo formando una única superficie visual. Esta fantástica grifería ha sido diseñada por Maurizio Duranti.;"Grifo monomando ducha. Acabado Cromo. Disponible: sin o con accesorios de ducha. Cartucho con discos cerámicos. Entrada Hembra 3/4"" con excéntrica.";grifo-ducha-galindo-mygod.jpg;cotas-grifo-ducha-galindo-mygod.jpg;alta-grifo-ducha-galindo-mygod.jpg;;;;6544000;6546000;6541000;6545600;Baño;Ducha;Mygod;No;Mural;Mezclador;No;grifo-ducha-Galindo-mygod.pdf;No;No;No;No;No;No;meca-66;ancl-3crcr;acce-127 crcr;60400;;8,43144E+12;;
MYGOD Grupo Ducha ;6543500;GRIFO DUCHA MYGOD;Sin accesorios de ducha;;653,1;Grifería monomando ducha de diseño vanguardista, de cuerpo compacto y original. La maneta se integra en el cuerpo formando una única superficie visual. Esta fantástica grifería ha sido diseñada por Maurizio Duranti.;"Grifo monomando ducha. Acabado Cromo. Disponible: sin o con accesorios de ducha. Cartucho con discos cerámicos. Entrada Hembra 3/4"" con excéntrica.";grifo-ducha-galindo-mygod.jpg;cotas-grifo-ducha-galindo-mygod.jpg;alta-grifo-ducha-galindo-mygod.jpg;;;;6545000;6547000;6541500;6545700;Baño;Ducha;Mygod;No;Mural;Mezclador;No;grifo-ducha-Galindo-mygod.pdf;No;No;No;No;No;No;meca-66;ancl-3crcr;acce-127 crcr;60400;;8,43144E+12;;
MYGOD Mecanismo Ducha ;6547300;GRIFO DUCHA EMPOTRABLE MYGOD;Sin accesorios de ducha;;249,4;Mecanismo ducha empotrable de diseño vanguardista perteneciente a la colección MYGOD. Esta fantástica grifería ha sido diseñada por Maurizio Duranti.;"Mecanismo monomando ducha empotrable. Acabado Cromo. Cartucho con discos cerámicos. Entrada 1/2"" a 1/2"" Hembra.";grifo-ducha-empotrable-galindo-mygod.jpg;cotas-grifo-ducha-empotrable-galindo-mygod.jpg;alta-grifo-ducha-empotrable-galindo-mygod.jpg;;;;6544000;6546000;6541000;6545600;Baño;Ducha;Mygod;No;Empotrada;Mezclador;No;grifo-ducha empotrable-Galindo-mygod.pdf;No;No;No;No;No;No;meca-67;;;;;8,43144E+12;;
MYGOD Mecanismo Ducha ;6547200;GRIFO DUCHA EMPOTRABLE 3 VÍAS MYGOD;Sin accesorios de ducha;;438,4;Mecanismo ducha empotrable de tres vías de diseño vanguardista perteneciente a la colección MYGOD. Esta fantástica grifería ha sido diseñada por Maurizio Duranti.;"Mecanismo ducha empotrable de 3 vías. Acabado Cromo. Cartucho con discos cerámicos. Entrada 1/2"" a 1/2"" Hembra.";grifo-ducha-empotrable-3-vias-galindo-mygod.jpg;cotas-grifo-ducha-empotrable-3-vias-galindo-mygod.jpg;alta-grifo-ducha-empotrable-3-vias-galindo-mygod.jpg;;;;6545000;6547000;6541500;6545700;Baño;Ducha;Mygod;No;Empotrada;Mezclador;No;grifo-ducha empotrable 3 vias-Galindo-mygod.pdf;No;No;No;No;No;No;meca-67;;;;;8,43144E+12;;